product_id,category,price_band,product_return_rate,variant_size_mismatch_rate,top_return_reason,top_return_reason_enc,review_fit_sentiment,customer_total_returns,customer_lifetime_orders,customer_category_return_rate,will_return
p011,accessories,mid,0.09,0.0,not_as_described,2,0.2078,29,65,0.4379,0
p012,electronics,mid,0.1,0.0,defective,0,0.3862,11,64,0.1948,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.1401,9,94,0.1671,0
p010,home_appliances,budget,0.1,0.0,defective,0,0.1117,10,25,0.7081,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.3052,13,20,0.6419,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.0505,6,41,0.1974,0
p001,electronics,premium,0.08,0.0,defective,0,-0.0514,20,98,0.3264,1
p009,home,budget,0.15,0.0,not_as_described,2,0.3657,7,22,0.4014,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.4842,16,107,0.1605,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4035,12,37,0.5584,0
p017,home_appliances,premium,0.04,1.0,defective,0,0.2808,10,75,0.1423,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.034,27,47,0.7161,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.109,29,71,0.6819,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.3491,1,42,0.0368,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.0344,15,20,0.6947,1
p016,sports,budget,0.06,1.0,not_as_described,2,-0.1847,3,71,0.0723,0
p002,apparel,mid,0.22,0.0,wrong_size,1,-0.1502,15,49,0.3485,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.0904,30,71,0.6029,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.118,7,88,0.1181,0
p018,electronics,budget,0.05,0.0,defective,0,0.4227,22,35,0.7817,1
p016,sports,budget,0.06,0.0,not_as_described,2,0.1249,9,55,0.1922,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.1958,5,28,0.157,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.2335,7,67,0.1502,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.0235,21,91,0.2211,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.4995,22,55,0.5027,0
p005,electronics,premium,0.06,0.0,not_as_described,2,0.2594,12,86,0.1617,1
p016,sports,budget,0.06,0.0,not_as_described,2,0.2957,8,10,1.0,1
p011,accessories,mid,0.09,0.0,not_as_described,2,0.3415,26,63,0.6503,1
p020,apparel,mid,0.24,0.0,wrong_size,1,-0.1191,8,95,0.131,0
p018,electronics,budget,0.05,0.0,defective,0,0.1637,20,26,0.853,0
p008,electronics,budget,0.13,0.0,defective,0,0.3292,10,106,0.1147,0
p010,home_appliances,budget,0.1,0.0,defective,0,0.0855,26,48,0.5725,0
p015,beauty,budget,0.04,1.0,not_as_described,2,0.3033,25,40,0.7927,1
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.2889,30,102,0.3429,0
p019,home,premium,0.08,0.0,not_as_described,2,0.3579,21,117,0.2643,0
p018,electronics,budget,0.05,0.0,defective,0,0.1491,7,68,0.0849,0
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.3917,20,80,0.4273,1
p008,electronics,budget,0.13,0.0,defective,0,-0.1915,15,30,0.4486,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.2239,18,114,0.241,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.0547,30,66,0.3785,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.2159,3,91,0.0385,0
p006,home_appliances,mid,0.09,0.0,defective,0,-0.2267,30,46,1.0,1
p015,beauty,budget,0.04,0.0,not_as_described,2,0.1517,1,44,0.0237,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.3195,18,46,0.6312,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.3388,8,27,0.5296,1
p016,sports,budget,0.06,0.0,not_as_described,2,0.1711,4,6,0.7722,1
p003,home_appliances,mid,0.11,0.0,defective,0,-0.2492,4,99,0.0493,0
p003,home_appliances,mid,0.11,0.0,defective,0,0.2818,14,79,0.181,0
p015,beauty,budget,0.04,1.0,not_as_described,2,0.0832,14,97,0.2546,0
p015,beauty,budget,0.04,1.0,not_as_described,2,-0.2354,15,107,0.2397,0
p005,electronics,premium,0.06,0.0,not_as_described,2,-0.0399,8,88,0.1303,0
p011,accessories,mid,0.09,1.0,not_as_described,2,0.2614,14,79,0.2491,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.3619,13,71,0.3091,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.4629,10,65,0.1712,0
p009,home,budget,0.15,1.0,not_as_described,2,0.291,2,13,0.1374,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.0286,18,90,0.2723,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.05,27,120,0.1916,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0199,4,89,0.0576,0
p008,electronics,budget,0.13,0.0,defective,0,0.4796,18,47,0.6155,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.1557,19,104,0.2977,0
p010,home_appliances,budget,0.1,0.0,defective,0,0.2259,11,12,0.8996,1
p015,beauty,budget,0.04,0.0,not_as_described,2,0.0629,2,98,0.0272,0
p010,home_appliances,budget,0.1,0.0,defective,0,-0.1755,24,97,0.3455,0
p018,electronics,budget,0.05,0.0,defective,0,0.1857,2,37,0.0672,0
p020,apparel,mid,0.24,1.0,wrong_size,1,-0.1215,3,48,0.0769,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.2939,1,30,0.0398,0
p004,apparel,mid,0.28,1.0,wrong_size,1,-0.3026,24,57,0.4587,1
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.132,17,108,0.1621,1
p009,home,budget,0.15,1.0,not_as_described,2,-0.0496,13,16,1.0,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.1625,9,24,0.4519,0
p019,home,premium,0.08,0.0,not_as_described,2,0.1711,2,58,0.0567,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.2389,23,67,0.3507,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.3552,28,128,0.2514,0
p002,apparel,mid,0.22,0.0,wrong_size,1,-0.0398,4,37,0.1078,0
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.1189,14,111,0.172,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.0751,27,108,0.279,0
p016,sports,budget,0.06,1.0,not_as_described,2,0.0694,18,26,0.7975,1
p010,home_appliances,budget,0.1,0.0,defective,0,0.192,2,85,0.0392,0
p009,home,budget,0.15,0.0,not_as_described,2,0.0805,14,88,0.231,0
p012,electronics,mid,0.1,1.0,defective,0,0.2169,3,47,0.1138,1
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.0017,14,82,0.2258,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.0323,21,98,0.1826,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4251,9,42,0.3265,0
p003,home_appliances,mid,0.11,0.0,defective,0,0.4742,18,103,0.1645,0
p009,home,budget,0.15,0.0,not_as_described,2,0.0013,19,110,0.3002,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.2483,21,111,0.3082,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.4609,16,63,0.2078,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0634,6,35,0.3086,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.1778,21,65,0.5416,1
p020,apparel,mid,0.24,1.0,wrong_size,1,-0.4357,25,47,0.8091,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.1087,24,120,0.3168,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4876,28,53,0.617,0
p017,home_appliances,premium,0.04,0.0,defective,0,-0.1402,16,84,0.2321,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4474,1,84,0.0152,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4242,9,20,0.7034,1
p009,home,budget,0.15,0.0,not_as_described,2,0.4444,30,59,0.8221,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.2774,7,57,0.2204,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.3638,25,44,0.5327,0
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.5441,14,93,0.1212,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.2618,3,103,0.0317,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.1288,2,17,0.1926,0
p011,accessories,mid,0.09,1.0,not_as_described,2,-0.0177,22,41,0.5856,0
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.2927,16,63,0.2204,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0014,12,73,0.1387,0
p003,home_appliances,mid,0.11,0.0,defective,0,0.3172,11,42,0.4015,0
p006,home_appliances,mid,0.09,0.0,defective,0,-0.1599,1,47,0.0286,0
p019,home,premium,0.08,1.0,not_as_described,2,0.321,20,44,0.7325,0
p006,home_appliances,mid,0.09,0.0,defective,0,-0.0519,1,27,0.0624,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.0144,8,13,0.9559,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.02,8,24,0.5331,0
p019,home,premium,0.08,0.0,not_as_described,2,0.3378,5,69,0.1081,0
p018,electronics,budget,0.05,0.0,defective,0,-0.1556,13,24,0.6666,0
p001,electronics,premium,0.08,0.0,defective,0,0.2741,10,95,0.1153,0
p019,home,premium,0.08,0.0,not_as_described,2,0.1919,14,20,1.0,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.3409,2,88,0.0327,0
p005,electronics,premium,0.06,0.0,not_as_described,2,-0.199,27,105,0.3801,0
p015,beauty,budget,0.04,1.0,not_as_described,2,-0.1772,11,61,0.3155,0
p010,home_appliances,budget,0.1,0.0,defective,0,-0.0064,14,112,0.1096,0
p006,home_appliances,mid,0.09,0.0,defective,0,0.1142,30,45,0.5506,0
p008,electronics,budget,0.13,0.0,defective,0,0.1895,24,58,0.6224,0
p009,home,budget,0.15,0.0,not_as_described,2,0.4189,3,21,0.2361,0
p018,electronics,budget,0.05,0.0,defective,0,0.14,30,71,0.6202,0
p006,home_appliances,mid,0.09,0.0,defective,0,0.335,22,113,0.3363,0
p005,electronics,premium,0.06,0.0,not_as_described,2,-0.0113,25,43,0.6028,0
p009,home,budget,0.15,0.0,not_as_described,2,0.2735,19,31,0.5306,0
p019,home,premium,0.08,0.0,not_as_described,2,0.2139,26,100,0.2272,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.3142,4,104,0.052,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.1704,26,42,0.816,0
p007,apparel,mid,0.07,0.0,not_as_described,2,-0.5494,30,97,0.5242,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.1021,4,85,0.0519,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0299,5,90,0.0791,0
p001,electronics,premium,0.08,0.0,defective,0,-0.0883,2,8,0.4371,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.1365,19,101,0.1562,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.2509,7,95,0.0889,0
p019,home,premium,0.08,0.0,not_as_described,2,0.3892,14,41,0.3893,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.2151,12,29,0.6458,0
p008,electronics,budget,0.13,1.0,defective,0,0.4563,14,46,0.2864,0
p009,home,budget,0.15,0.0,not_as_described,2,0.2769,30,51,0.9491,1
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.7768,16,76,0.2734,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.2596,30,61,0.4993,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.1929,9,78,0.0933,0
p017,home_appliances,premium,0.04,0.0,defective,0,-0.1443,11,17,0.7768,0
p012,electronics,mid,0.1,0.0,defective,0,0.4913,16,74,0.3382,0
p005,electronics,premium,0.06,0.0,not_as_described,2,0.1463,3,54,0.0652,0
p004,apparel,mid,0.28,1.0,wrong_size,1,-0.7611,19,85,0.2685,0
p016,sports,budget,0.06,0.0,not_as_described,2,-0.1882,16,75,0.2024,0
p006,home_appliances,mid,0.09,0.0,defective,0,-0.0309,12,91,0.203,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0053,22,95,0.2547,0
p019,home,premium,0.08,0.0,not_as_described,2,0.1775,25,118,0.3543,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.2032,23,30,1.0,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.2604,4,92,0.0453,0
p019,home,premium,0.08,0.0,not_as_described,2,0.1015,13,33,0.4778,0
p009,home,budget,0.15,0.0,not_as_described,2,0.4985,22,40,0.7253,0
p019,home,premium,0.08,0.0,not_as_described,2,0.137,30,53,0.713,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.1465,19,81,0.2328,0
p010,home_appliances,budget,0.1,0.0,defective,0,0.0838,22,49,0.6691,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.4166,9,25,0.4945,0
p006,home_appliances,mid,0.09,0.0,defective,0,-0.0229,9,15,0.6526,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.1496,6,32,0.3052,0
p014,electronics,premium,0.05,1.0,defective,0,0.4241,23,99,0.2414,0
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.1188,3,56,0.0606,1
p011,accessories,mid,0.09,0.0,not_as_described,2,0.082,13,97,0.2325,0
p010,home_appliances,budget,0.1,0.0,defective,0,0.2218,9,92,0.084,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.4471,29,52,0.6792,1
p016,sports,budget,0.06,0.0,not_as_described,2,0.3978,25,89,0.2771,0
p001,electronics,premium,0.08,0.0,defective,0,-0.032,9,82,0.154,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1458,28,46,1.0,1
p013,apparel,mid,0.19,1.0,wrong_size,1,-0.4629,20,53,0.5731,1
p015,beauty,budget,0.04,0.0,not_as_described,2,0.3616,5,84,0.0986,0
p012,electronics,mid,0.1,0.0,defective,0,-0.0411,21,34,0.6082,0
p017,home_appliances,premium,0.04,0.0,defective,0,-0.0584,7,65,0.1673,0
p008,electronics,budget,0.13,1.0,defective,0,-0.2054,20,67,0.4456,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.006,22,38,0.8329,1
p013,apparel,mid,0.19,0.0,wrong_size,1,-0.3842,4,63,0.0983,0
p009,home,budget,0.15,0.0,not_as_described,2,0.3299,24,56,0.6344,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4223,2,75,0.0243,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.2442,5,47,0.176,0
p009,home,budget,0.15,1.0,not_as_described,2,-0.1944,28,94,0.371,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.2826,17,77,0.3252,0
p018,electronics,budget,0.05,0.0,defective,0,0.2603,6,81,0.0647,0
p001,electronics,premium,0.08,0.0,defective,0,0.3152,29,90,0.268,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.002,11,60,0.2289,1
p015,beauty,budget,0.04,0.0,not_as_described,2,0.0144,20,65,0.2827,0
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.0809,24,27,1.0,1
p009,home,budget,0.15,0.0,not_as_described,2,0.4499,7,66,0.1216,0
p001,electronics,premium,0.08,0.0,defective,0,0.407,25,110,0.2771,1
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.0967,3,80,0.0313,1
p015,beauty,budget,0.04,0.0,not_as_described,2,0.391,12,69,0.1799,1
p011,accessories,mid,0.09,0.0,not_as_described,2,0.318,7,101,0.0954,0
p007,apparel,mid,0.07,1.0,not_as_described,2,-0.3864,28,47,1.0,1
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4778,20,107,0.2294,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1806,25,93,0.3007,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.3446,7,36,0.214,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.1057,30,84,0.4847,0
p015,beauty,budget,0.04,1.0,not_as_described,2,0.2797,29,87,0.549,0
p017,home_appliances,premium,0.04,0.0,defective,0,-0.1495,21,99,0.2976,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.4656,15,42,0.5962,1
p002,apparel,mid,0.22,1.0,wrong_size,1,-0.1956,23,120,0.2451,1
p020,apparel,mid,0.24,1.0,wrong_size,1,-0.1513,10,110,0.0985,1
p017,home_appliances,premium,0.04,0.0,defective,0,0.3093,14,27,0.8311,0
p007,apparel,mid,0.07,0.0,not_as_described,2,-0.0587,10,63,0.1342,1
p011,accessories,mid,0.09,0.0,not_as_described,2,0.1558,9,29,0.3092,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.2134,8,106,0.1224,0
p007,apparel,mid,0.07,1.0,not_as_described,2,0.1169,5,23,0.3305,0
p015,beauty,budget,0.04,1.0,not_as_described,2,0.3544,16,21,1.0,1
p012,electronics,mid,0.1,0.0,defective,0,-0.2927,4,85,0.0485,0
p003,home_appliances,mid,0.11,0.0,defective,0,0.0866,19,101,0.2759,0
p014,electronics,premium,0.05,0.0,defective,0,-0.0802,17,70,0.1972,0
p014,electronics,premium,0.05,0.0,defective,0,0.4278,26,116,0.3304,1
p014,electronics,premium,0.05,0.0,defective,0,0.3522,4,35,0.1134,0
p009,home,budget,0.15,0.0,not_as_described,2,0.2578,11,63,0.2198,0
p016,sports,budget,0.06,1.0,not_as_described,2,0.0034,20,104,0.2999,0
p018,electronics,budget,0.05,0.0,defective,0,0.0471,0,90,0.0,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.421,28,96,0.5014,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0757,8,14,0.9852,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.1846,5,46,0.0887,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.1534,29,39,0.8174,0
p015,beauty,budget,0.04,0.0,not_as_described,2,0.2514,12,109,0.1695,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.0275,1,14,0.0884,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.4941,24,66,0.3017,0
p017,home_appliances,premium,0.04,0.0,defective,0,-0.2314,13,37,0.5199,0
p016,sports,budget,0.06,0.0,not_as_described,2,0.2693,22,32,0.6064,0
p015,beauty,budget,0.04,1.0,not_as_described,2,-0.0534,10,57,0.159,0
p003,home_appliances,mid,0.11,0.0,defective,0,0.1438,4,16,0.2468,0
p001,electronics,premium,0.08,0.0,defective,0,-0.0405,11,82,0.1198,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.4242,12,112,0.0948,0
p011,accessories,mid,0.09,0.0,not_as_described,2,-0.0853,21,70,0.2909,0
p013,apparel,mid,0.19,0.0,wrong_size,1,-0.4389,8,62,0.1419,0
p015,beauty,budget,0.04,0.0,not_as_described,2,-0.0563,19,98,0.193,0
p017,home_appliances,premium,0.04,0.0,defective,0,0.3588,25,68,0.456,0
p011,accessories,mid,0.09,0.0,not_as_described,2,0.0832,9,51,0.2476,0
p019,home,premium,0.08,0.0,not_as_described,2,0.1607,9,104,0.1294,0
p019,home,premium,0.08,0.0,not_as_described,2,-0.1402,26,77,0.3934,0
p020,apparel,mid,0.24,0.0,wrong_size,1,-0.3615,0,94,0.0,0
